#,red,green,blue,label
1182,106,165,139,Green
1183,13,22,159,Blue
1184,81,217,107,Green
1185,244,133,168,Pink
1186,37,105,217,Blue
1187,141,26,42,Red
1188,117,182,49,Green
1189,63,173,229,Blue
1190,56,165,143,Green
1191,78,31,131,Purple
1192,209,85,178,Pink
1193,16,148,24,Green
1194,186,33,217,Pink
1195,40,191,78,Green
1196,49,109,11,Green
1197,84,111,219,Blue
1198,106,75,148,Purple
1199,227,129,70,Orange
1200,94,3,6,Brown
1201,200,71,242,Pink
1202,184,194,67,Yellow
1203,143,140,75,Green
1204,166,228,25,Green
1205,44,61,6,Green
1206,111,165,93,Green
1207,135,166,203,Blue
1208,213,2,18,Red
1209,208,247,211,Green
1210,62,242,180,Green
1211,40,144,123,Green
1212,189,117,214,Pink
1213,100,156,22,Green
1214,76,125,48,Green
1215,59,121,70,Green
1216,186,37,140,Pink
1217,13,146,186,Blue
1218,152,205,156,Green
1219,188,98,92,Red
1220,196,95,70,Brown
1221,60,173,78,Green
1222,71,26,84,Purple
1223,75,117,231,Blue
1224,215,34,35,Red
1225,222,152,17,Orange
1226,93,53,242,Blue
1227,102,58,25,Brown
1228,176,241,227,Green
1229,102,150,118,Green
1230,66,252,188,Green
1231,107,243,179,Green
1232,63,180,159,Green
1233,98,244,221,Green
1234,110,24,158,Purple
1235,208,178,216,Purple
1236,183,89,250,Purple
1237,167,138,168,Purple
1238,126,9,149,Purple
1239,84,22,215,Blue
1240,90,70,133,Blue
1241,66,36,185,Blue
1242,214,66,248,Pink
1243,235,101,240,Pink
1244,231,217,31,Yellow
1245,51,237,110,Green
1246,251,129,41,Orange
1247,219,11,135,Pink
1248,30,161,234,Blue
1249,14,64,238,Blue
1250,182,197,244,Blue
1251,146,25,48,Red
1252,31,30,49,Black
1253,55,251,28,Green
1254,76,2,5,Brown
1255,123,228,219,Blue
1256,17,31,114,Blue
1257,144,170,121,Green
1258,8,50,51,Green
1259,159,6,60,Red
1260,140,139,148,Grey
1261,218,90,88,Red
1262,180,224,160,Green
1263,172,65,159,Purple
1264,27,203,177,Green
1265,17,3,91,Blue
1266,77,203,124,Green
1267,122,185,144,Green
1268,76,64,174,Blue
1269,223,87,18,Orange
1270,15,10,95,Blue
1271,219,31,82,Red
1272,25,226,139,Green
1273,62,49,223,Blue
1274,88,97,143,Blue
1275,20,189,65,Green
1276,217,19,62,Red
1277,102,112,74,Green
1278,128,24,125,Purple
1279,203,233,33,Yellow
1280,159,105,170,Purple
1281,73,201,7,Green
1282,173,136,31,Brown
1283,137,17,229,Purple
1284,69,145,224,Blue
1285,2,198,230,Blue
1286,227,4,75,Red
1287,210,235,238,Blue
1288,42,41,200,Blue
1289,109,12,118,Purple
1290,69,209,120,Green
1291,158,169,224,Purple
1292,193,1,20,Red
1293,190,120,46,Brown
1294,80,95,97,Grey
1295,199,49,29,Red
1296,77,127,12,Green
1297,188,184,254,Purple
1298,130,216,82,Green
1299,121,161,101,Green
1300,26,130,77,Green
1301,57,8,239,Blue
1302,32,52,2,Green
1303,74,71,228,Blue
1304,235,205,50,Yellow
1305,6,167,6,Green
1306,71,142,64,Green
1307,190,29,127,Pink
1308,66,121,125,Grey
1309,74,10,116,Purple
1310,104,217,49,Green
1311,169,138,135,Brown
1312,80,238,67,Green
1313,116,207,224,Blue
1314,253,102,17,Orange
1315,43,166,96,Green
1316,221,59,133,Pink
1317,200,170,83,Brown
1318,240,138,84,Orange
1319,65,58,137,Blue
1320,29,41,88,Blue
1321,248,90,188,Pink
1322,250,115,231,Pink
1323,60,251,9,Green
1324,95,242,185,Green
1325,224,89,16,Orange
1326,8,185,105,Green
1327,24,244,187,Green
1328,209,233,131,Green
1329,3,60,186,Blue
1330,187,14,240,Purple
1331,234,128,236,Pink
1332,121,181,156,Green
1333,117,154,14,Green
1334,154,10,106,Purple
1335,247,111,184,Pink
1336,33,81,47,Green
1337,166,182,179,Grey
1338,221,87,124,Pink
1339,217,244,200,Green
1340,156,36,50,Red
1341,163,91,168,Purple
1342,188,215,23,Green
1343,220,18,46,Red
1344,8,176,206,Blue
1345,40,223,78,Green
1346,129,247,163,Green
1347,57,16,141,Blue
1348,167,231,108,Green
1349,99,231,223,Blue
1350,46,251,107,Green
1351,3,116,140,Blue
1352,243,211,217,Pink
1353,151,141,236,Purple
1354,212,230,239,Grey
1355,117,21,167,Purple
1356,128,99,211,Purple
1357,241,119,193,Pink
1358,155,198,58,Green
1359,133,70,121,Purple
1360,95,235,144,Green
1361,187,207,177,Green
1362,78,116,208,Blue
1363,163,140,98,Brown
1364,94,109,110,Grey
1365,93,80,140,Purple
1366,200,29,207,Pink
1367,87,220,123,Green
1368,180,25,63,Red
1369,117,210,62,Green
1370,219,61,235,Pink
1371,241,79,85,Red
1372,105,1,81,Purple
1373,237,110,6,Orange
1374,130,237,144,Green
1375,79,108,8,Green
1376,54,50,162,Blue
1377,211,139,46,Orange
1378,187,54,80,Red
1379,88,111,178,Blue
1380,3,66,180,Blue
1381,170,67,41,Brown
1382,13,35,156,Blue
1383,247,81,19,Orange
1384,84,180,219,Blue
1385,246,17,174,Pink
1386,153,53,156,Purple
1387,81,182,231,Blue
1388,100,76,187,Purple
1389,194,65,149,Pink
1390,33,12,209,Blue
1391,61,125,220,Blue
1392,34,147,211,Blue
1393,119,253,248,Blue
1394,183,4,229,Purple
1395,215,15,140,Pink
1396,38,49,122,Blue
1397,222,231,210,Green
1398,234,146,147,Red
1399,222,220,42,Yellow
1400,207,232,57,Green
1401,52,231,127,Green
1402,51,211,236,Blue
1403,102,193,87,Green
1404,144,189,254,Blue
1405,19,41,208,Blue
1406,151,19,38,Red
1407,108,39,243,Purple
1408,201,171,114,Brown
1409,56,191,175,Green
1410,153,58,144,Purple
1411,166,141,115,Brown
1412,66,39,240,Blue
1413,67,101,157,Blue
1414,142,37,77,Red
1415,162,193,154,Green
1416,210,3,107,Pink
1417,239,8,242,Pink
1418,246,205,76,Yellow
1419,100,190,123,Green
1420,11,22,145,Blue
1421,253,180,238,Pink
1422,42,190,109,Green
1423,36,179,116,Green
1424,86,218,147,Green
1425,228,170,197,Pink
1426,178,9,225,Purple
1427,155,6,189,Purple
1428,112,205,221,Blue
1429,215,87,139,Pink
1430,72,123,126,Green
1431,243,80,108,Red
1432,121,80,79,Brown
1433,191,40,74,Red
1434,182,58,25,Brown
1435,98,131,210,Blue
1436,41,0,88,Blue
1437,165,14,9,Brown
1438,123,193,156,Green
1439,60,218,219,Blue
1440,243,115,49,Orange
1441,6,8,55,Blue
1442,223,40,105,Pink
1443,133,245,196,Green
1444,124,31,233,Blue
1445,57,8,53,Purple
1446,45,2,254,Blue
1447,243,158,138,Red
1448,149,180,78,Green
1449,2,254,155,Green
1450,45,240,151,Green
1451,239,50,159,Pink
1452,161,178,93,Green
1453,167,103,239,Purple
1454,98,134,9,Green
1455,180,222,218,Green
1456,214,99,147,Pink
1457,77,176,248,Blue
1458,154,228,59,Green
1459,38,15,233,Blue
1460,30,26,51,Black
1461,184,79,189,Purple
1462,119,220,209,Blue
1463,212,192,167,Brown
1464,113,107,101,Grey
1465,216,149,243,Pink
1466,137,178,193,Blue
1467,167,10,69,Red
1468,5,157,8,Green
1469,152,110,143,Purple
1470,207,99,139,Pink
1471,206,207,0,Yellow
1472,17,161,220,Blue
1473,68,145,62,Green
1474,222,220,238,Purple
1475,70,185,234,Blue
1476,160,254,154,Green
1477,12,59,27,Green
1478,72,91,229,Blue
1479,114,222,92,Green
1480,5,57,182,Blue
1481,242,82,168,Pink
1482,8,240,14,Green
1483,147,226,98,Green
1484,159,232,93,Green
1485,69,188,219,Blue
1486,6,194,94,Green
1487,31,30,2,Brown
1488,22,183,209,Blue
1489,134,3,207,Purple
1490,165,172,113,Green
1491,218,39,4,Red
1492,83,105,152,Blue
1493,225,158,201,Pink
1494,87,65,177,Blue
1495,23,157,87,Green
1496,124,30,141,Purple
1497,202,51,168,Pink
1498,129,58,138,Purple
1499,177,89,149,Purple
1500,75,52,209,Blue
1501,151,170,241,Blue
1502,8,78,174,Blue
1503,239,209,96,Yellow
1504,190,210,31,Green
1505,117,243,232,Blue
1506,241,99,2,Orange
1507,172,93,250,Purple
1508,102,61,245,Blue
1509,42,39,164,Blue
1510,126,8,100,Purple
1511,96,182,215,Blue
1512,186,196,69,Green
1513,165,124,92,Brown
1514,220,85,243,Pink
1515,96,117,57,Green
1516,177,151,103,Brown
1517,18,45,79,Blue
1518,110,197,6,Green
1519,95,7,49,Purple
1520,150,78,233,Purple
1521,244,183,196,Pink
1522,40,75,127,Blue
1523,107,181,119,Green
1524,176,212,128,Green
1525,63,233,249,Blue
1526,84,5,56,Purple
1527,28,67,150,Blue
1528,88,75,153,Blue
1529,203,34,242,Pink
1530,241,93,50,Orange
1531,249,98,20,Orange
1532,155,86,194,Purple
1533,180,93,87,Brown
1534,238,76,91,Red
1535,133,153,86,Green
1536,221,85,249,Pink
1537,98,140,132,Green
1538,176,212,33,Green
1539,185,109,215,Purple
1540,10,154,144,Green
1541,18,220,64,Green
1542,22,113,11,Green
1543,133,232,229,Blue
1544,160,246,132,Green
1545,180,24,96,Pink
1546,23,140,93,Green
1547,182,111,149,Purple
1548,44,171,115,Green
1549,185,72,59,Brown
1550,11,79,74,Green
1551,152,43,108,Purple
1552,73,134,65,Green
1553,49,76,196,Blue
1554,171,172,112,Green
1555,178,142,35,Green
1556,186,42,67,Red
1557,61,231,230,Blue
1558,9,67,92,Blue
1559,122,162,121,Green
1560,50,113,190,Blue
1561,227,250,240,Green
1562,131,2,111,Purple
1563,181,93,205,Purple
1564,63,44,174,Blue
1565,134,117,181,Purple
1566,222,61,182,Pink
1567,230,14,87,Red
1568,26,228,20,Green
1569,246,213,107,Yellow
1570,95,106,85,Grey
1571,209,90,118,Pink
1572,18,192,50,Green
1573,106,144,165,Grey
1574,94,222,47,Green
1575,185,246,188,Green
1576,17,84,242,Blue
1577,155,173,249,Blue
1578,79,168,30,Green
1579,213,130,156,Pink
1580,78,145,217,Blue
1581,117,146,66,Green
1582,9,178,213,Blue
1583,185,240,70,Green
1584,130,87,124,Purple
1585,23,59,229,Blue
1586,23,172,152,Green
1587,136,53,28,Brown
1588,28,9,4,Brown
1589,192,223,66,Yellow
1590,211,164,166,Pink
1591,56,48,124,Blue
1592,81,129,72,Green
1593,57,252,77,Green
1594,137,167,7,Green
1595,98,55,36,Brown
1596,105,36,1,Brown
1597,126,243,164,Green
1598,248,18,253,Pink
1599,137,171,143,Green
1600,109,61,109,Purple
1601,204,61,253,Pink
1602,141,244,244,Blue
1603,53,205,95,Green
1604,247,141,126,Red
1605,236,80,100,Red
1606,54,58,176,Blue
1607,55,119,99,Green
1608,54,100,55,Green
1609,72,231,238,Blue
1610,88,36,88,Purple
1611,245,98,242,Pink
1612,118,246,121,Green
1613,203,79,213,Purple
1614,70,39,195,Blue
1615,48,97,67,Green
1616,223,63,186,Pink
1617,240,249,177,Yellow
1618,93,0,46,Brown
1619,17,206,238,Blue
1620,96,22,126,Purple
1621,72,228,184,Green
1622,112,158,244,Blue
1623,127,23,32,Brown
1624,201,235,7,Yellow
1625,128,21,104,Purple
1626,44,26,217,Blue
1627,77,97,243,Blue
1628,89,24,205,Blue
1629,102,64,215,Blue
1630,249,228,246,Pink
1631,164,43,220,Purple
1632,176,75,30,Brown
1633,106,75,190,Purple
1634,108,223,227,Blue
1635,150,239,1,Green
1636,207,89,231,Pink
1637,19,149,239,Blue
1638,7,100,30,Green
1639,205,137,120,Brown
1640,26,196,145,Green
1641,164,237,236,Blue
1642,153,82,100,Brown
1643,138,65,5,Brown
1644,185,26,81,Red
1645,141,70,237,Purple
1646,19,149,211,Blue
1647,189,233,248,Blue
1648,132,174,96,Green
1649,213,146,11,Orange
1650,130,213,253,Blue
1651,3,132,102,Green
1652,174,201,158,Green
1653,43,66,57,Green
1654,174,64,125,Pink
1655,188,23,46,Red
1656,238,22,88,Red
1657,52,150,220,Blue
1658,194,234,150,Green
1659,26,227,37,Green
1660,44,115,80,Green
1661,198,135,22,Orange
1662,40,186,238,Blue
1663,226,70,112,Red
1664,208,170,31,Yellow
1665,80,157,208,Blue
1666,48,144,253,Blue
1667,120,166,44,Green
1668,109,175,89,Green
1669,23,89,223,Blue
1670,116,129,31,Green
1671,207,47,107,Pink
1672,226,147,80,Orange
1673,195,19,178,Pink
1674,118,126,188,Blue
1675,131,129,93,Brown
1676,252,11,175,Pink
1677,16,31,131,Blue
1678,150,23,109,Purple
1679,154,24,164,Purple
1680,2,154,92,Green
1681,136,201,108,Green
1682,17,94,86,Green
1683,170,196,226,Blue
1684,242,246,185,Yellow
1685,130,161,24,Green
1686,122,188,73,Green
1687,17,37,146,Blue
1688,95,161,39,Green
1689,108,230,167,Green
1690,125,137,125,Grey
1691,15,209,213,Blue
1692,161,60,112,Purple
1693,79,18,224,Blue
1694,98,192,75,Green
1695,114,18,105,Purple
1696,95,133,123,Grey
1697,143,153,202,Blue
1698,217,124,186,Pink
1699,251,117,28,Orange
1700,65,20,242,Blue
1701,224,213,178,Grey
1702,23,83,91,Blue
1703,81,244,184,Green
1704,176,172,70,Green
1705,187,198,139,Green
1706,52,160,162,Green
1707,245,147,171,Pink
1708,46,139,71,Green
1709,230,184,141,Brown
1710,169,143,116,Brown
1711,54,207,118,Green
1712,117,98,42,Brown
1713,232,25,149,Pink
1714,121,254,2,Green
1715,105,17,44,Brown
1716,53,244,168,Green
1717,106,110,120,Grey
1718,65,5,219,Blue
1719,125,221,128,Green
1720,85,24,70,Purple
1721,231,57,86,Red
1722,158,150,168,Grey
1723,174,138,55,Brown
1724,222,10,45,Red
1725,4,55,191,Blue
1726,200,127,191,Pink
1727,1,132,68,Green
1728,244,91,121,Red
1729,80,156,48,Green
1730,192,217,57,Green
1731,244,210,186,Orange
1732,46,160,80,Green
1733,165,252,169,Green
1734,182,114,145,Purple
1735,136,25,129,Purple
1736,226,22,8,Red
1737,52,161,14,Green
1738,238,84,150,Pink
1739,154,146,130,Grey
1740,138,48,233,Purple
1741,65,134,34,Green
1742,5,223,36,Green
1743,93,160,165,Blue
1744,234,0,200,Pink
1745,68,102,0,Green
1746,87,237,62,Green
1747,160,143,196,Purple
1748,44,39,238,Blue
1749,167,110,135,Purple
1750,219,112,158,Pink
1751,128,215,115,Green
1752,141,137,26,Green
1753,154,176,168,Grey
1754,95,65,156,Purple
1755,123,97,175,Purple
1756,223,201,101,Yellow
1757,29,233,228,Blue
1758,65,183,210,Blue
1759,136,37,81,Purple
1760,107,92,64,Brown
1761,69,127,104,Green
1762,144,14,250,Purple
1763,62,192,61,Green
1764,148,213,72,Green
1765,122,169,90,Green
1766,151,33,123,Purple
1767,243,144,64,Orange
1768,70,216,102,Green
1769,238,179,26,Yellow
1770,90,136,164,Blue
1771,169,10,58,Red
1772,198,92,215,Pink
1773,178,99,200,Purple
1774,187,243,219,Green
1775,171,162,91,Green
1776,39,63,204,Blue
1777,166,189,44,Green
1778,165,57,234,Purple
1779,228,207,210,Grey
1780,156,108,188,Purple
1781,52,236,137,Green
1782,87,231,62,Green
1783,122,118,182,Blue
1784,151,2,130,Purple
1785,225,41,84,Red
1786,245,67,222,Pink
1787,77,151,193,Blue
1788,190,134,46,Brown
1789,34,20,193,Blue
1790,72,219,39,Green
1791,52,74,139,Blue
1792,27,223,203,Blue
1793,73,154,10,Green
1794,193,61,67,Red
1795,162,82,191,Purple
1796,200,76,181,Pink
1797,198,137,245,Purple
1798,23,143,86,Green
1799,140,252,20,Green
1800,171,202,92,Green
1801,92,171,112,Green
1802,83,77,94,Grey
1803,106,211,78,Green
1804,162,4,242,Purple
1805,172,30,89,Red
1806,147,175,192,Grey
1807,87,227,44,Green
1808,28,26,74,Blue
1809,71,149,158,Blue
1810,70,138,184,Blue
1811,117,235,59,Green
1812,103,207,164,Green
1813,184,165,227,Purple
1814,227,226,78,Yellow
1815,149,170,177,Grey
1816,50,210,213,Blue
1817,55,159,167,Blue
1818,46,139,146,Blue
1819,203,25,69,Red
1820,65,208,86,Green
1821,139,20,229,Purple
1822,45,220,33,Green
1823,40,113,108,Green
1824,170,228,159,Green
1825,170,240,237,Blue
1826,46,132,217,Blue
1827,167,177,42,Yellow
1828,224,187,214,Pink
1829,20,192,158,Green
1830,74,91,134,Blue
1831,137,72,21,Brown
1832,88,225,182,Green
1833,66,247,87,Green
1834,246,83,173,Pink
1835,216,107,254,Pink
1836,159,145,245,Blue
1837,123,2,184,Purple
1838,69,15,165,Blue
1839,129,109,27,Brown
1840,93,169,15,Green
1841,162,59,15,Brown
1842,216,253,135,Yellow
1843,159,154,2,Green
1844,170,122,66,Brown
1845,198,157,234,Purple
1846,216,37,1,Red
1847,78,88,11,Green
1848,243,141,232,Pink
1849,176,207,27,Green
1850,75,146,244,Blue
1851,92,187,210,Blue
1852,178,228,185,Green
1853,181,240,51,Green
1854,54,227,43,Green
1855,150,76,43,Brown
1856,60,54,141,Blue
1857,248,241,201,Yellow
1858,84,28,88,Purple
1859,230,86,244,Pink
1860,189,85,242,Purple
1861,142,163,90,Green
1862,23,225,144,Green
1863,219,179,162,Brown
1864,213,157,24,Orange
1865,179,241,118,Green
1866,49,56,139,Blue
1867,74,43,216,Blue
1868,102,237,215,Blue
1869,105,4,50,Brown
1870,89,90,176,Blue
1871,54,24,98,Blue
1872,38,224,56,Green
1873,206,248,30,Green
1874,158,185,19,Green
1875,221,116,63,Orange
1876,9,212,40,Green
1877,184,49,202,Purple
1878,223,189,189,Grey
1879,74,219,178,Green
1880,52,208,76,Green
1881,157,244,71,Green
1882,254,209,216,Pink
1883,122,196,240,Blue
1884,223,157,205,Purple
1885,34,18,176,Blue
1886,54,89,226,Blue
1887,99,194,230,Blue
1888,137,248,186,Green
1889,66,49,81,Black
1890,235,165,7,Orange
1891,201,187,127,Grey
1892,228,233,70,Yellow
1893,6,159,242,Blue
1894,81,25,86,Purple
1895,112,239,33,Green
1896,131,219,34,Green
1897,120,57,31,Brown
1898,29,135,239,Blue
1899,213,247,132,Green
1900,185,98,173,Pink
1901,150,156,213,Blue
1902,180,121,193,Purple
1903,189,200,187,Grey
1904,247,162,39,Orange
1905,25,4,207,Blue
1906,56,166,38,Green
1907,29,209,59,Green
1908,29,201,211,Blue
1909,190,186,71,Green
1910,119,138,128,Grey
1911,202,168,121,Brown
1912,86,248,52,Green
1913,62,216,249,Blue
1914,215,144,27,Orange
1915,77,131,144,Blue
1916,25,117,240,Blue
1917,40,51,141,Blue
1918,225,121,163,Pink
1919,157,156,2,Green
1920,129,81,217,Purple
1921,154,188,253,Blue
1922,16,152,89,Green
1923,52,115,187,Blue
1924,95,129,243,Blue
1925,164,178,187,Grey
1926,96,95,8,Green
1927,83,135,5,Green
1928,98,44,76,Purple
1929,132,181,147,Green
1930,158,213,187,Green
1931,90,116,160,Blue
1932,160,137,73,Brown
1933,73,22,211,Blue
1934,91,30,24,Brown
1935,202,50,35,Red
1936,23,8,102,Blue
1937,220,16,51,Red
1938,22,30,249,Blue
1939,168,17,222,Purple
1940,169,24,80,Red
1941,57,209,38,Green
1942,55,1,2,Brown
1943,127,53,69,Brown
1944,114,24,32,Brown
1945,193,98,207,Pink
1946,88,134,6,Green
1947,110,141,238,Blue
1948,85,172,165,Green
1949,144,17,187,Purple
1950,40,28,29,Black
1951,197,16,198,Purple
1952,239,250,204,Yellow
1953,167,233,242,Blue
1954,84,56,104,Purple
1955,34,230,206,Blue
1956,174,131,123,Brown
1957,23,18,242,Blue
1958,254,33,129,Pink
1959,107,198,98,Green
1960,147,118,80,Brown
1961,170,124,243,Purple
1962,252,151,172,Pink
1963,127,186,117,Green
1964,64,166,100,Green
1965,202,211,236,Grey
1966,134,208,197,Green
1967,83,8,154,Blue
1968,0,125,16,Green
1969,223,121,182,Pink
1970,166,124,190,Purple
1971,154,212,210,Blue
1972,122,81,226,Purple
1973,139,230,40,Green
1974,60,159,27,Green
1975,219,145,131,Orange
1976,37,152,149,Blue
1977,98,118,236,Blue
1978,235,69,117,Pink
1979,150,55,36,Brown
1980,39,244,173,Green
1981,169,9,40,Red
1982,253,144,27,Orange
1983,106,138,215,Blue
1984,110,199,202,Green
1985,253,165,164,Red
1986,20,224,99,Green
1987,90,177,236,Blue
1988,57,12,90,Purple
1989,118,249,153,Green
1990,42,221,57,Green
1991,16,246,35,Green
1992,60,73,91,Grey
1993,205,17,180,Purple
1994,213,169,56,Yellow
1995,146,164,80,Green
1996,86,76,42,Brown
1997,193,6,200,Pink
1998,149,151,166,Grey
1999,127,86,106,Brown
2000,109,48,57,Brown
2001,20,147,13,Green
2002,13,112,247,Blue
2003,22,34,23,Black
2004,37,172,226,Blue
2005,47,234,34,Green
2006,122,218,202,Green
2007,96,142,6,Green
2008,148,190,177,Grey
2009,120,39,241,Purple
2010,74,82,113,Grey
2011,44,4,62,Purple
2012,154,124,203,Purple
2013,154,12,21,Red
2014,209,88,154,Pink
2015,96,187,119,Green
2016,145,118,113,Brown
2017,148,204,228,Blue
2018,203,15,197,Pink
2019,66,135,188,Blue
2020,94,209,155,Green
2021,83,59,210,Blue
2022,6,122,174,Blue
2023,20,144,63,Green
2024,73,180,157,Green
2025,194,31,173,Pink
2026,214,109,185,Pink
2027,232,240,212,White
2028,39,237,201,Green
2029,109,92,190,Purple
2030,141,30,45,Brown
2031,205,230,126,Yellow
2032,229,32,182,Pink
2033,111,214,53,Green
2034,178,209,125,Green
2035,44,94,70,Green
2036,182,202,225,Grey
2037,119,228,86,Green
2038,184,9,175,Purple
2039,126,178,198,Blue
2040,60,36,32,Brown
2041,159,228,24,Green
2042,218,134,15,Orange
2043,48,219,6,Green
2044,72,83,162,Blue
2045,118,233,194,Green
2046,127,76,201,Purple
2047,63,136,177,Blue
2048,29,194,43,Green
2049,248,51,68,Red
2050,14,51,90,Blue
2051,117,109,65,Grey
2052,137,164,146,Grey
2053,240,186,56,Orange
2054,166,206,59,Green
2055,158,220,103,Green
2056,151,87,106,Brown
2057,23,23,128,Blue
2058,122,218,114,Green
2059,1,64,10,Green
2060,162,194,204,Grey
2061,105,220,242,Blue
2062,218,122,207,Pink
2063,14,78,212,Blue
2064,157,213,161,Green
2065,38,179,21,Green
2066,57,65,9,Green
2067,33,197,76,Green
2068,105,34,192,Purple
2069,130,41,162,Purple
2070,186,39,148,Pink
2071,86,236,35,Green
2072,229,242,104,Yellow
2073,159,166,91,Green
2074,2,172,150,Blue
2075,121,182,116,Green
2076,221,188,116,Yellow
2077,42,78,112,Blue
2078,109,209,240,Blue
2079,163,54,21,Brown
2080,86,34,199,Blue
2081,142,192,212,Blue
2082,252,198,150,Orange
2083,144,132,153,Grey
2084,77,46,12,Brown
2085,58,246,173,Green
2086,228,64,55,Red
2087,60,231,18,Green
2088,55,99,233,Blue
2089,113,206,205,Blue
2090,42,230,26,Green
2091,8,82,79,Green
2092,72,243,220,Green
2093,150,139,191,Purple
2094,146,99,178,Purple
2095,187,214,141,Green
2096,226,143,149,Red
2097,103,100,201,Blue
2098,141,130,97,Grey
2099,252,159,168,Red
2100,253,170,95,Orange
2101,191,63,117,Pink
2102,216,161,2,Yellow
2103,208,203,203,Grey
2104,16,229,246,Blue
2105,89,242,159,Green
2106,56,145,155,Blue
2107,57,186,248,Blue
2108,119,22,188,Purple
2109,83,7,84,Purple
2110,216,119,96,Orange
2111,219,58,225,Pink
2112,185,52,44,Red
2113,109,117,4,Green
2114,157,136,65,Brown
2115,218,210,23,Yellow
2116,162,97,217,Purple
2117,38,113,8,Green
2118,83,222,70,Green
2119,94,22,89,Purple
2120,179,46,13,Red
2121,222,52,210,Pink
2122,19,34,223,Blue
2123,121,186,236,Blue
2124,23,182,45,Green
2125,244,188,53,Orange
2126,252,188,44,Orange
2127,140,53,72,Brown
2128,213,122,167,Pink
2129,42,61,155,Blue
2130,28,86,47,Green
2131,182,27,248,Purple
2132,195,90,69,Brown
2133,205,65,12,Red
2134,38,72,135,Blue
2135,93,18,167,Purple
2136,190,112,232,Pink
2137,254,188,252,Pink
2138,76,68,217,Blue
2139,229,44,4,Red
2140,18,231,52,Green
2141,42,163,45,Green
2142,203,40,161,Purple
2143,181,87,55,Brown
2144,132,83,175,Purple
2145,189,225,173,Green
2146,137,236,222,Green
2147,5,68,238,Blue
2148,99,170,128,Green
2149,15,230,195,Green
2150,110,45,72,Brown
2151,90,95,69,Grey
2152,149,195,58,Green
2153,151,176,5,Green
2154,29,57,251,Blue
2155,122,117,79,Grey
2156,252,4,217,Pink
2157,188,69,250,Purple
2158,199,135,66,Brown
2159,162,94,65,Brown
2160,180,21,102,Pink
2161,12,47,90,Blue
2162,4,139,78,Green
2163,37,166,203,Blue
2164,103,13,198,Purple
2165,63,232,126,Green
2166,62,236,129,Green
2167,124,39,124,Purple
2168,97,227,186,Green
2169,166,15,93,Pink
2170,72,177,94,Green
2171,221,205,218,Grey
2172,9,188,91,Green
2173,100,227,214,Blue
2174,235,253,38,Yellow
2175,105,248,132,Green
2176,114,184,225,Blue
2177,172,107,134,Brown
2178,95,148,239,Blue
2179,21,144,249,Blue
2180,121,169,114,Green
2181,135,133,53,Green
2182,28,11,115,Blue
2183,185,73,68,Red
2184,150,195,187,Grey
2185,121,185,174,Green
2186,46,201,248,Blue
2187,24,251,225,Green
2188,128,35,112,Purple
2189,227,90,219,Pink
2190,118,173,193,Blue
2191,84,62,22,Brown
2192,109,79,206,Purple
2193,174,238,141,Green
2194,129,216,222,Blue
2195,24,7,195,Blue
2196,48,42,253,Blue
2197,70,73,128,Blue
2198,125,127,36,Green
2199,112,243,206,Green
2200,222,223,112,Yellow
2201,235,153,98,Orange
2202,162,201,155,Green
2203,150,90,23,Brown
2204,149,210,26,Green
2205,113,103,185,Purple
2206,233,117,145,Pink
2207,112,175,202,Blue
2208,102,20,217,Blue
2209,128,56,137,Purple
2210,30,135,48,Green
2211,239,46,113,Red
2212,202,82,138,Pink
2213,244,222,11,Yellow
2214,24,35,22,Black
2215,67,175,229,Blue
2216,105,133,162,Grey
2217,189,77,99,Red
2218,168,14,65,Red
2219,175,60,139,Purple
2220,249,198,137,Orange
2221,145,113,99,Brown
2222,110,40,249,Blue
2223,132,110,19,Green
2224,33,211,198,Green
2225,56,68,178,Blue
2226,128,204,139,Green
2227,208,209,252,Blue
2228,219,230,205,Grey
2229,61,206,223,Blue
2230,180,7,8,Red
2231,86,169,221,Blue
2232,55,49,5,Brown
2233,21,67,97,Blue
2234,229,46,176,Pink
2235,9,37,58,Black
2236,90,35,132,Purple
2237,235,167,182,Pink
2238,189,202,139,Green
2239,173,214,184,Green
2240,33,2,103,Blue
2241,199,164,199,Purple
2242,106,50,35,Brown
2243,163,214,122,Green
2244,174,105,148,Purple
2245,138,159,49,Green
2246,129,158,23,Green
2247,228,148,207,Pink
2248,245,146,240,Pink
2249,186,16,14,Red
2250,190,89,168,Pink
2251,114,54,116,Purple
2252,83,216,166,Green
2253,61,76,227,Blue
2254,178,215,98,Green
2255,63,115,142,Blue
2256,254,59,17,Orange
2257,157,105,149,Purple
2258,131,53,231,Purple
2259,91,20,89,Purple
2260,103,24,212,Blue
2261,116,178,84,Green
2262,59,176,51,Green
2263,44,83,131,Blue
2264,131,253,68,Green
2265,179,187,112,Green
2266,86,131,247,Blue
2267,162,170,173,Grey
2268,129,227,54,Green
2269,22,241,180,Green
2270,45,155,174,Blue
2271,64,216,253,Blue
2272,155,2,122,Purple
2273,238,100,167,Pink
2274,240,37,12,Red
2275,135,238,191,Green
2276,1,187,28,Green
2277,70,85,167,Blue
2278,150,5,48,Brown
2279,221,212,162,Brown
2280,152,212,202,Green
2281,44,211,148,Green
2282,51,193,130,Green
2283,106,104,244,Blue
2284,15,53,157,Blue
2285,66,164,191,Blue
2286,219,169,9,Orange
